Site,Sample_ID,Original_ ID,Region,Culture,species,category,common_name,group,Group,AMS_C14,Age,Sex,percent_C,percent_N,percent_S,CN_atomic,d13C,d15N,d34S,gly_d15N,gly_d15Nstdev,ser_d15N,ser_d15Nstdev,glu_d15N,glu_d15Nstdev,ala_d15N,ala_d15Nstdev,asp_d15N,asp_d15Nstdev,pro_d15N,pro_d15Nstdev,hyp_d15N,hyp_d15Nstdev,val_d15N,val_d15Nstdev,leu_d15N,leu_d15Nstdev,ile_d15N,ile_d15Nstdev,thr_d15N,thr_d15Nstdev,lys_d15N,lys_d15Nstdev,phe_d15N,phe_d15Nstdev,nle_d15N,nle_d15Nstdev,d15N_est,gly_d13C,gly_d13Cstdev,ser_d13C,ser_d13Cstdev,glu_d13C,glu_d13Cstdev,ala_d13C,ala_d13Cstdev,asp_d13C,asp_d13Cstdev,pro_d13C,pro_d13Cstdev,hyp_d13C,hyp_d13Cstdev,val_d13C,val_d13Cstdev,leu_d13C,leu_d13Cstdev,ile_d13C,ile_d13Cstdev,nle_d13C,nle_d13Cstdev,thr_d13C,thr_d13Cstdev,lys_d13C,lys_d13Cstdev,phe_d13C,phe_d13Cstdev,d13C_est,ala_d13C_err,gly_d13C_err,val_d13C_err,leu_d13C_err,ile_d13C_err,nle_d13C_err,thr_d13C_err,ser_d13C_err,pro_d13C_err,asp_d13C_err,glu_d13C_err,hyp_d13C_err,phe_d13C_err,lys_d13C_err
PSG-07,TRD530,,Patos lagoon,Cerritos,Micropogonias furnieri,marine_fauna,whitemouth croaker,Fauna,marine_fauna,,,,28.8,10.5,0.34,3.2,-12,10.8,13.2,4.23,0.19,5.43,0.94,19.81,0.3,21.46,0.4,15.99,0.68,16.42,0.73,16.82,0.66,22.39,0.92,17.77,1,,,-12.41,2.24,4.66,1.64,4.39,0.51,14.3,0.23,9.77,-4.06,0.19,-0.9,0.87,-12.88,0.61,-13.67,0.4,-14.51,0.47,-15.42,0.61,-14.62,0.63,-20.23,0.61,-25.83,0.51,-17.39,0.43,-28.17,0.34,-7.28,0.96,-15.33,0.48,-22.79,0.18,-9.64,1.03,0.63,0.77,0.76,0.87,0.71,0.77,1.77,0.43,1.1,0.6,1,0.5,0.6
Morro do Ouro,TRD_777,,Babitonga Bay,Sambaquis,Centropomus spp,marine_fauna,snook,Fauna,marine_fauna,,,,35,12.8,0.3,3.2,-10.5,11.3,9.5,5.02,0.19,5.85,0.81,20.79,0.13,22.53,0.1,16.84,0.25,16.74,0.15,16.51,0.22,20.21,0.35,19.93,0.56,19.45,2.18,-14.49,0.65,4.5,0.21,4.78,2.01,14.6,0.31,11.79,-2.38,0.7,4.01,0.3,-9.87,0.36,-15.3,0.33,-10.12,0.57,-13.27,0.22,-11.31,0.23,-17.3,0.7,-20.21,0.17,-15.92,0.26,-27.63,0.27,-7.49,0.72,-11.89,0.5,-20.58,0.1,-9.6,0.62,1.55,0.94,0.79,0.56,0.69,0.98,0.79,1.29,1.51,1.2,1.8,1.2,0.8
Morro do Ouro,TRD_818,,Babitonga Bay,Sambaquis,Ariidae spp.,marine_fauna,catfish,Fauna,marine_fauna,,,,41.4,14.9,0.3,3.2,-11.86,13.6,12.2,5.48,0.24,6.94,0.4,25.66,0.12,26.51,0.31,21.61,0.23,20.68,0.16,20.34,0.38,24.15,0.31,25.67,0.23,25.78,0.58,-20.22,1.09,5.65,0.16,5.08,0.41,14.64,0.04,14.17,-6.4,0.67,-1.9,1.57,-13.32,0.21,-18,0.53,-16.11,0.47,-16.52,0.57,-14.35,0.54,-21.43,0.67,-24.4,0.24,-18.69,1.2,-29.68,0.21,-6.92,0.83,-15.86,0.95,-22.97,0.14,-13.16,1.63,2.14,0.93,0.57,1.25,0.92,1.06,1.99,1.69,1.53,1.7,1.2,0.6,1.1
Rio do Meio II,TRD-89,,Florianopolis,Taquara Itarare,Carcharhinus,marine_fauna,shark,Fauna,marine_fauna,,,,42.9,14.3,0.48,3.5,-11.8,14.8,17.5,2.5,0.32,2.75,0.7,26.76,0.45,25.09,0.25,21.4,0.14,21.36,0.55,21.95,0.82,27.54,0.32,22.78,0.97,24.68,0.5,-15.08,0.12,5.98,0.97,8.33,0.29,13.3,0.22,12.45,-5.89,0.27,2.38,0.43,-11.04,0.12,-14.29,0.7,-11.9,1.05,-14.19,0.02,-13.43,0.4,-18.16,0.32,-21.77,0.08,-14.55,0.21,-28.92,0.23,2.29,1.22,-14.13,0.89,-22.21,0.22,-10.77,1.02,1.02,0.61,0.83,0.86,0.69,0.74,1.16,0.46,1.07,0.6,1.1,0.5,1.1
Rio do Meio II,TRD-103,,Florianopolis,Taquara Itarare,Rhizoprionodon,marine_fauna,shark,Fauna,marine_fauna,,,,40.3,13.9,0.5,3.4,-11.3,16.1,17.3,4.99,0.12,4.6,0.15,28.36,0.42,27.69,0.3,24.19,0.65,22.72,0.12,23.54,0.96,30.65,0.59,24.54,0.11,27.31,0.17,-17.38,0.88,8.4,0.32,9.44,0.16,13.89,0.31,13.92,-4.2,0.43,1.61,0.12,-10.7,0.37,-13.67,0.39,-12.56,1.34,-14.98,0.51,-13.73,1.01,-18.17,0.07,-21.95,0.04,-14.34,0.9,-28.62,0.33,-1.79,0.74,-14.57,1.39,-22.18,0.79,-10.71,,,,,,,,,,,,,,
Piaçaguera,CRB-48,,Baixada santista,Sambaquis,shark,marine_fauna,shark,Fauna,marine_fauna,,,,37.3,13,0.39,3.3,-10.7,15.2,10.9,5.03,0.78,4.49,1.29,30.08,0.98,28.02,0.24,24.67,1.06,21.65,0.05,22.71,0.04,31.02,0.81,27.33,0.19,28.45,0.31,-22.84,1.32,5.73,1.06,10.23,0.73,14.74,0.06,12.87,-4.33,0.22,5.01,0.7,-11.2,0.16,-13.77,0.34,-12.01,0.64,-13.55,0.25,-12.18,0.53,-17.32,0.25,-27.53,0.34,-16.16,0.21,-28.45,0.13,-2.68,0.3,-16.26,0.59,-22.4,0.12,-10.58,1.78,0.65,0.6,1.27,1.18,0.31,0.72,2.29,0.41,1.16,0.6,1.4,1,0.8
PSG-02,TRD-521,,Patos lagoon,Cerritos,Cavia Aperea,terrestrial_herbivore,guinea pig,Fauna,terrestrial_fauna,,,,40.6,13.7,0.21,3.4,-20.4,11,4.7,9.31,0.21,8.09,0.03,13.8,0.39,11.4,0.25,11.98,0.63,13.68,0.72,13.98,0.6,13.03,0.36,10.87,0.16,11.88,0.58,2.6,0.78,7.2,0.16,15.81,0.37,14.05,0.1,10.72,-19.62,0.87,-12.15,0.65,-19.54,0.31,-23.5,0.59,-21.67,0.24,-24,0.18,-22.72,0.53,-27.31,0.26,-30.82,0.46,-24.37,0.16,-29.03,0.21,-10.45,0.44,-20.82,1.01,-25.53,0.2,-20.93,0.87,0.61,0.56,0.69,0.98,0.66,1.15,1.05,0.63,1.2,0.6,1,0.4,0.6
Panaquatira,CRB-68B,,Sao Luis,Sambaquis,Deer,terrestrial_herbivore,deer,Fauna,terrestrial_fauna,,,,39.6,14,0.14,3.3,-21.2,5.9,11.7,3.05,0.22,0.32,0.91,10.22,0.3,8.26,0.67,8.65,0.18,9.34,0.79,9.67,0.32,9.53,0.61,5.41,0.15,7.51,0.02,-7.54,1.71,2.32,0.99,10.7,0.2,13.87,0.13,5.91,-21.74,0.18,-12,0.01,-20.97,0.34,-29.11,0.08,-21.81,0.88,-23.7,0.13,-22.85,0.73,-29.28,0.43,-31.8,1.66,-27.5,0.37,-29.45,0.15,-13.64,0.32,-21.73,0.34,-26.89,0.67,-22.24,1.9,0.69,0.55,1.23,1.39,0.43,0.78,2.19,0.41,0.99,0.9,1.4,1,0.5
Morro do Ouro,MO_021,,Babitonga Bay,Sambaquis,Tayassuidae,terrestrial_herbivore,peccary,Fauna,terrestrial_fauna,,,,41.7,14.5,-,3.4,-22.7,6.5,,4.17,0.07,4.34,0.41,8.32,0.18,6.23,0.22,8.75,0.3,8.45,0.05,8.49,0.06,8.51,0.41,6.37,0.9,6.73,0.33,-12.86,0.88,1.32,0.36,8.15,0.04,13.52,0.12,5.52,-19.54,1.37,-13.45,1.5,-19.26,0.15,-29.88,0.4,-25.35,1.18,-23.76,0.44,-21.67,0.37,-29.1,0.35,-36.6,0.37,-30.32,1.42,-28.34,0.24,-16.1,0.97,-21.87,0.43,-28.6,0.24,-23.15,1.85,1.8,1.05,0.88,1.52,0.64,1.16,1.66,1.23,1.9,1.2,1.7,1.7,0.9
Morro do Ouro,MO_023,,Babitonga Bay,Sambaquis,Tayassuidae ,terrestrial_herbivore,peccary,Fauna,terrestrial_fauna,,,,40.9,14.2,-,3.7,-22.8,5.7,,4.76,0.06,4.28,0.64,7.99,0.1,5.73,0.2,9.02,0.13,8.15,0.12,8.3,0.26,8.04,0.18,6.62,0.13,6.09,0.82,-14.22,0.26,-0.45,0.46,8,0.85,13.43,0.06,5.47,-21.44,0.39,-13.79,0.45,-19.38,0.5,-30.3,0.36,-25.51,0.79,-24.29,0.21,-22.63,0.31,-28.89,0.54,-36.02,0.36,-30.04,1.02,-28.99,0.12,-16.11,0.69,-22.87,0.1,-29.02,0.05,-23.77,1.84,1.22,1.13,0.87,1.15,0.6,0.84,0.84,1.17,1.69,1.3,1.7,1.7,0.8
Cubatao 1,Cu1_022,,Babitonga Bay,Sambaquis,Tayassuidae ,terrestrial_herbivore,peccary,Fauna,terrestrial_fauna,,,,39.9,14.3,-,3.3,-22.8,4,,1.25,0.06,1.1,0.53,7.47,0.26,4.67,0.02,8.11,0.42,7.5,0.18,6.99,0.81,6.66,1.05,6.02,0.12,5.95,0.75,-8.48,0.49,0.22,0.74,6.67,0.11,14.52,0.09,3.9,-21.51,0.21,-15.01,0.65,-22,0.28,-28.23,0.6,-22.94,1.03,-23.85,0.29,-21.67,0.71,-28.8,0.32,-32.1,0.41,-27.63,0.51,-28.36,0.35,-14,2.97,-23.05,0.25,-29.2,0.26,-23.4,0.8,1.4,0.7,0.87,0.71,0.72,0.98,0.98,1.3,1.74,1.2,1.9,1.2,0.7
Piaçaguera,CRB-49,,Baixada santista,Sambaquis,Auphractus sexcinctus,terrestrial_omnivore,armadillo,Fauna,terrestrial_fauna,,,,44.1,14.7,0.22,3.5,-20,13.2,10.7,9.35,1.22,7.52,0.42,16.37,0.81,18.39,0.88,16.21,1.65,16.7,0.12,17.27,0.3,17.11,0.27,5.69,0.24,12.77,0.52,-10.76,1.91,8.35,1,15.27,5.54,13.72,0.48,12.01,-18.08,0.25,-9.77,0.19,-20.78,0.58,-25.62,0.28,-19.04,0.44,-21.44,0.22,-19.74,0.16,-26.21,0.09,-31.19,0.4,-23.03,0.14,-27.94,0.15,-12.03,0.14,-21.56,0.24,-27.24,0.1,-21.56,1.75,1,0.55,1.23,1.17,0.43,0.95,3.79,0.48,1.13,0.7,1.3,1,0.6
PSG-02,TRD-533,,Patos lagoon,Cerritos,Cavia Aperea,terrestrial_herbivore,guinea pig,Fauna,terrestrial_fauna,,,,38.5,13,0.2,3.4,-16,6.6,10.6,4.46,0.24,3.41,0.55,9.86,0.92,7.7,0.45,9.72,0.51,8.7,0.73,8.43,0.3,10.23,1.35,7.62,1.25,8.04,0.23,-5.17,0.97,2.96,1.13,11.5,0.08,13.09,0.19,7.26,-14.71,0.34,-9.17,1.49,-14.15,0.18,-20.73,0.59,-17.68,0.35,-18.13,0.02,-16.22,0.37,-22.55,0.53,-26.01,0.31,-20.35,0.22,-28.77,0.26,-5.93,0.48,-15.49,0.42,-20.95,0.2,-16.09,0.92,0.69,0.56,0.69,1.24,0.74,0.96,0.97,0.66,2.11,0.6,1.4,0.9,1.5
Morro do Ouro,MO_026,,Babitonga Bay,Sambaquis,Nasua spp.,terrestrial_omnivore,coati,Fauna,terrestrial_fauna,,,,41.2,14.2,-,3.4,-19.6,10.5,,7.5,0.04,6.57,0.23,14.68,0.22,14.29,0.23,13.25,0.08,14.89,0.2,14.3,0.18,16.02,0.76,13.88,0.59,14.26,1.04,-10.63,0.15,4.46,0.57,7.59,0.21,14.44,0.12,10.5,-17.5,1.17,-8.47,0.37,-18.07,0.27,-26.07,0.3,-17.99,1.46,-21.46,0.51,-17.96,0.22,-24.49,0.25,-31.53,0.18,-26.93,0.26,-27.71,0.15,-11.96,0.03,-20.36,0.48,-26.15,0.09,-20.36,0.61,1.81,0.67,0.79,0.56,0.65,0.82,0.82,1.37,2.02,1.2,1.8,1.2,0.8
