Abbreviated reference,Habitat,Growing system,Vascularization,Group,Group1,Functional group,Class,Species,Category,ala_d15N,asx_d15N,glu_d15N,ile_d15N,leu_d15N,pro_d15N,val_d15N,gly_d15N,lys_d15N,phe_d15N,ser_d15N,met_d15N,thr_d15N,Beta_glx-phe
Chikaraishi et al. 2007,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Sargassum filicinum,brown algae,6.7,na,5.8,5.1,2.3,6.7,7.7,-1.9,,3.5,-2.1,1.4,na,2.3
Chikaraishi et al. 2007,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Undaria pinnatifida,brown algae,7.5,na,6.3,5.1,4.5,5,6.2,-1.3,,3.5,-2.6,1.4,na,2.8
Chikaraishi et al. 2007,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Sargassum filicinum,brown algae,7.3,na,6.3,5.8,2.8,7.2,8.4,-1.5,,4.1,-1.6,2,na,2.2
Chikaraishi et al. 2007,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Undaria pinnatifida,brown algae,8,na,6.9,5.7,5.1,5.4,6.8,-0.7,,4.1,-2.1,2,na,2.8
Chikaraishi et al. 2009,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Sargassum filicinum,brown algae,7.9,na,8.2,7.2,4.6,9,9.3,-0.8,,4.4,1.6,2.5,na,3.8
Chikaraishi et al. 2014,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Ecklonia cava,brown algae,8.2,na,9.3,7.8,7.9,9.2,9.4,2.7,,5.4,2,4.6,na,3.9
Chikaraishi et al. 2014,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Eisenia bicyclis,brown algae,9.3,na,9.4,8.2,9.1,8.8,10,3.1,,6.5,-1.6,3.8,na,2.9
Ishikawa et al. 2018,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Ishige okamurae,brown algae,na,na,8.3,na,na,na,na,na,,4.9,na,-0.4,na,3.4
Ishikawa et al. 2018,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Sargassum fulvellum,brown algae,na,na,9.5,na,na,na,na,na,,6.4,na,1.3,na,3.1
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,12.2,14,14,9.3,12.3,13.2,12.4,9.4,13.3,11.3,na,10.5,12.2,2.7
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,11.9,12,12.8,8.6,10.2,10.5,11.5,9.9,9.2,10.4,8.1,8.7,9.2,2.4
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,12.4,13.4,13.9,9.4,11.4,12.5,13.3,10.7,11.5,11.8,5,10,11.5,2.1
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,11.6,11.5,12.8,10.4,9.7,7.5,12.4,7.4,2.7,11,8.2,na,9.7,1.8
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,10.8,11.5,12.7,9.1,10.5,9.2,11.3,7.3,7.6,10.5,4.1,8.8,6.9,2.2
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,11.7,12.4,13.1,10.7,11.3,12.1,12.7,6,10,11.6,9.6,na,8.7,1.5
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,10.7,10.1,12.8,na,8.3,9.1,na,3.4,4.3,10.4,na,na,na,2.4
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,7,11,12.4,8.5,8.2,3.7,9.3,4.5,-0.8,10.2,na,7.9,5.5,2.2
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,11,11.5,12.4,7,8.3,3.9,10.5,4.5,0.7,11.4,4.7,8.6,9.9,1
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,9.2,9.8,10.7,na,7.3,5.3,9.1,4.2,1.3,7.2,1.2,na,2.5,3.5
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,7.9,8.8,9.7,na,6.2,7.6,7.3,2.2,2.4,6.2,na,na,na,3.5
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,8.9,9.1,10.2,5.2,6.6,8.8,8.2,4.4,7,6.9,0.2,na,4.5,3.3
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,6.9,7.3,9,na,7.5,1.4,na,-2.5,-1.9,5.6,na,na,na,3.4
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,6.6,7.9,8.6,na,6,7.7,6.8,0.2,5.1,7.2,na,na,na,1.4
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,na,10.2,6.7,na,na,na,na,na,,,na,na,na,6.7
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,12.1,8.5,8.7,na,11.2,9.5,na,4.8,7.5,9.6,na,na,na,-0.9
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,11.2,10.9,12.1,na,9.6,11,na,4.2,7.7,10.3,na,6.1,1.2,1.8
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus vesiculosus,brown algae,10.3,10.4,11.9,na,10.1,10.2,na,3.9,6.6,9.8,na,na,na,2.1
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Ascophyllum nodosum,brown algae,8.2,1.3,13.9,na,4.8,8.3,9.1,4.8,9.6,8.4,3.7,na,6.4,5.5
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Ascophyllum nodosum,brown algae,9.8,14.1,16.9,na,14.1,13.6,na,5.9,14.7,12,6.4,na,13,4.9
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Bifurcaria bifurcata,brown algae,3.1,9,7.8,na,6.5,5.8,5.5,-2.7,6.9,5.5,-1.7,na,2.7,2.3
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Ericaria selaginoides,brown algae,4.9,5.5,11.7,na,6.3,1.3,8.1,1.6,1,8.2,2.7,na,10.5,3.5
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Fucus serratus,brown algae,9.5,5.3,4.4,na,2.2,6.3,na,1.1,4.5,3.3,na,na,na,1.1
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Gongolaria baccata,brown algae,7.7,8.8,9.4,3.8,6.6,8.6,9.7,3.6,7.8,8,2.7,9.5,9.6,1.4
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Sargassum fluitans,brown algae,5.4,1,2.8,na,-4.6,1,0.9,-3.7,-2.1,-2.4,0.3,na,-12.6,5.2
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Sargassum muticum,brown algae,10.6,9.7,15.3,na,9.7,12.1,12.3,3.9,8.5,10,4.6,na,12,5.3
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Laminaria ochroleuca,brown algae,4.7,6.3,5.3,1.3,2.3,-0.3,5.2,-2.9,-1.3,5.1,-2.5,5.8,4.8,0.2
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Laminaria ochroleuca,brown algae,4.6,5.7,6.1,-1.2,1.7,6.5,2.7,-2.8,4.2,3.9,-8.4,3,6,2.2
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Brown macroalgae,Phaeophyceae,Saccorhiza polyschides,brown algae,9.2,10.1,10.4,8,7.7,1.4,9.4,3.4,1.8,8.5,1.5,8,7.5,1.9
Chikaraishi et al. 2007,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Binghamia californica,red algae,6.9,na,8.6,6.4,4.9,7.3,8.3,-0.8,,3.6,-1.4,0.9,na,5
Chikaraishi et al. 2007,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Gelidium japonica,red algae,8.2,na,9.3,7,5.7,7.3,7.7,2.9,,4.7,-3.3,3.2,na,4.6
Chikaraishi et al. 2009,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Gelidium japonica,red algae,10.4,na,9.2,9.4,8.5,10.5,10.6,0.4,,6.6,0.6,3.8,na,2.6
Chikaraishi et al. 2007,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Binghamia californica,red algae,7.7,na,8.7,6.3,5.1,6.8,7,2.3,,4.3,-4,2.6,na,4.4
Chikaraishi et al. 2007,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Gelidium japonica,red algae,6.3,na,7.8,5.8,4.3,6.8,7.7,-1.4,,2.9,-1.9,0.3,na,4.9
Chikaraishi et al. 2014,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Gelidium japonicum,red algae,8.3,na,9.1,6.2,5.7,6.4,6.5,0.6,,5.2,-2.5,3.5,na,3.9
Chikaraishi et al. 2014,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Gelidium japonicum,red algae,8.9,na,7.3,5.9,7,5,6.9,1.5,,3.7,na,na,na,3.6
Chikaraishi et al. 2014,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Gelidium japonicum,red algae,7.4,na,9.1,8,4.4,8.8,5.1,-0.5,,5.1,na,na,na,4
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Chondrus crispus,red algae,7.2,9.8,10.8,4.1,4.8,8.3,9.6,0.3,6.6,5.9,-0.1,na,12.8,4.9
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Chondrus crispus,red algae,5.4,10.2,11.1,6.6,5.3,15.5,10,1.6,8.1,4.5,na,na,11.6,6.6
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Corallina elongata,red algae,8,4.1,5.8,na,1.5,4.2,na,-0.5,,5.2,na,na,na,0.6
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Gigartina acicularis,red algae,3.8,9.6,8.8,na,3.5,6.1,6.6,-2.2,2,,4.7,na,16.9,8.8
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Gymnogongrus crenulatus,red algae,3.8,10.8,16.4,na,4.4,7.3,8.1,-2.4,1.4,4.5,5.2,na,17.6,11.9
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Mastocarpus stellatus,red algae,7.1,10.4,7,4.9,4.6,7.3,10.7,-0.2,-0.4,9.7,na,2.5,13.5,-2.7
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Red macroalgae,Florideophyceae,Mastocarpus stellatus,red algae,4.5,7.7,6.2,2.2,3.3,8.9,7.2,-1.6,-0.2,4.8,-2.6,3.3,8.9,1.4
Chikaraishi et al. 2009,Freshwater,Natural,Non-vascular,Macroalgae,Macroalgae,Green macroalgae,Trebouxiophyceae,Prasiola japonica,green algae,2.6,na,4.2,2.7,3.9,3.2,4.2,0.1,,0.3,-0.5,-1.1,na,3.9
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Macroalgae,Macroalgae,Green macroalgae,Ulvophyceae,Boergesenia forbesii,green algae,5.7,na,5.8,5.4,4.9,5.4,6.7,0.2,,2.4,-4.2,0.7,na,3.4
Maeda et al. 2012,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Green macroalgae,Ulvophyceae,Rhipidosiphon lewmanomontiae,green algae,na,na,12.3,na,na,na,na,na,,8.8,na,na,na,3.5
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Green macroalgae,Ulvophyceae,Codium tomentosum,green algae,9.1,10.5,12.1,7.3,6.9,9.4,10.6,-0.9,8,12,-2.1,13.7,15,0.1
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Green macroalgae,Ulvophyceae,Ulva clathrata,green algae,10.4,12,12.7,7.1,8.8,12.5,14,6.4,10,7.1,1.3,na,16.3,5.6
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Green macroalgae,Ulvophyceae,Ulva intestinalis,green algae,9.4,13.2,12.5,na,8.6,5.8,12,2.2,,9.2,4.4,na,9.4,3.3
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Green macroalgae,Ulvophyceae,Ulva rigida,green algae,7.9,14.1,19.6,na,8.2,12.4,12.9,4.6,9.3,6.3,3.7,na,13.5,13.3
García-Seoane et al. 2022,Marine,Natural,Non-vascular,Macroalgae,Macroalgae,Green macroalgae,Ulvophyceae,Ulva rigida,green algae,5.4,10.1,13.1,na,6.3,10.9,11.8,2.6,6.9,5.6,0.4,na,13.9,7.5
McClelland et al. 2003,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Trichodesmium sp.,phytoplankton,-3.2,2.9,-1.4,-0.7,-0.3,-1.6,-0.5,-2.1,-2.8,-3.6,-8.9,-4.4,-0.6,2.2
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Anabaena cylindrica,phytoplankton,0.2,na,1.1,0.6,0.3,na,3,-5.8,,-3,-6.4,na,na,4.1
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Nostoc sp.,phytoplankton,-1.4,na,-0.2,na,-0.8,-0.6,0.8,-3.6,,-3.8,-6.2,na,na,3.6
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Nostoc sp.,phytoplankton,-4.7,na,-6.1,-4.6,-7,-5.4,-4,-5.6,,-8.8,-13.4,na,na,2.7
Chikaraishi et al. 2009,Terrestrial,Natural,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Nostoc commune,phytoplankton,-0.2,na,-1.6,-1,-1.3,-1.5,-1.1,-11.4,,-4.6,-10.8,na,na,3
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Oscillatoria sancta,phytoplankton,-1.3,na,1.3,-0.2,-0.6,-3.4,1.9,-4.5,,-1.7,-9.3,-3.4,na,3
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Synechococcus sp.,phytoplankton,5.2,na,5.6,4.8,4,6.3,6.1,-0.2,,2.2,-2.1,na,na,3.4
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Synechococcus sp.,phytoplankton,-0.9,na,1.2,1.2,0.2,1.1,0.9,-5.4,,-2.6,-7.3,-5.4,na,3.8
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Acaryochloris marina,phytoplankton,4.4,na,5.1,2.5,4.1,4.4,6.2,-0.8,,0.8,-1.2,na,na,4.3
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Synechococcus sp.,phytoplankton,-11.9,-14.7,-16.9,-17.6,-17.5,-14.2,-14.3,-14.7,-20.5,-15.6,-17.6,na,-14.6,-1.3
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Synechococcus sp.,phytoplankton,-12.1,-17.2,-17.2,-19,-18.5,-13.1,-18.4,-19.8,-24.1,-18.5,-19.5,na,-18.7,1.3
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Prochlorococcus marinus,phytoplankton,-6.9,-6.8,-3.5,-9.1,-8.6,-5.7,-4.6,-5.6,-11.1,-9.8,-9.6,na,-8.4,6.3
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Trichodesmium erythaeum,phytoplankton,-1.8,-2.1,-1.6,-2.5,-0.3,1.6,-4.7,0.7,0.3,0.2,-5.2,na,0.1,-1.8
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Synechococcus sp.,phytoplankton,-10.6,-5.4,-7,-8.2,-8.6,-5.8,-5.6,-13,-12.1,-8.4,-13.3,na,-6.3,1.4
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Cyanothece sp.,phytoplankton,-3.8,-4.3,-4.6,-7.4,-9.1,-1.6,-1.2,-5.9,-8,-7.3,-8.5,na,-2.9,2.7
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Cyanothece sp.,phytoplankton,5.7,2.7,0.9,-0.8,-1.3,2.2,4.5,1.3,-6.9,-2,-3.9,na,3.3,2.9
Shen et al. 2021,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,not specified,phytoplankton,14.3,8.4,7.5,7,7.2,10.5,10.3,8.8,6,7.2,3.8,na,8.6,0.3
García-Seoane et al. 2022,Marine/Freshwater,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Arthrospira platensis,phytoplankton,1,2.4,-1.3,3.9,-1.5,-1.7,2.5,1.3,-3.5,0.3,-5.7,na,3.3,-1.6
García-Seoane et al. 2022,Marine/Freshwater,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Arthrospira platensis,phytoplankton,4.6,-1.5,-2.7,na,-3.1,0.7,1.1,-2.9,-4.9,-2.1,-7.7,na,-2.1,-0.6
García-Seoane et al. 2022,Marine/Freshwater,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Arthrospira platensis,phytoplankton,4.2,1.3,-0.1,-3.1,0.4,-8.8,3.1,3.4,-10.9,0.4,-1.8,na,2.9,-0.5
García-Seoane et al. 2022,Marine/Freshwater,Lab culture,Non-vascular,Microalgae,Phytoplankton,Cyanobacteria,Cyanophyceae,Arthrospira platensis,phytoplankton,4.8,0.7,-0.5,-3.6,-1.6,-0.9,2.9,2.5,-7.4,-0.6,-4.2,na,4.6,0.1
Maeda et al. 2012,Marine,Natural,Non-vascular,Microalgae,Phytoplankton,Dinoﬂagellates,Dinophyceae,Symbiodinium spp.,phytoplankton,na,na,8.2,na,na,na,na,na,,5.3,na,na,na,2.9
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Dinoﬂagellates,Dinophyceae,Amphidinium carterae,phytoplankton,-19.2,-19,-17.3,-21,-21.1,-25.2,-20.6,-17.7,-24.6,-21.1,-25.5,na,-14.8,3.8
Décima et al. 2017,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Dinoﬂagellates,Dinophyceae,Heterocapsa triquetra,phytoplankton,2.9,na,7.1,na,na,na,na,na,,2.4,na,na,na,4.7
Décima et al. 2017,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Dinoﬂagellates,Dinophyceae,Heterocapsa triquetra,phytoplankton,4.4,na,7.2,na,na,na,na,na,,2.9,na,na,na,4.3
Fujii et al. 2020,Marine,Natural,Non-vascular,Microalgae,Phytoplankton,Dinoﬂagellates,Dinophyceae,Symbiodinium sp.,phytoplankton,na,na,11,na,na,na,na,na,,5.7,na,na,na,5.3
Wall et al. 2021,Marine,Natural,Non-vascular,Microalgae,Phytoplankton,Dinoﬂagellates,Dinophyceae,Symbiodiniaceae,phytoplankton,5.4,5.4,5.8,5.9,2.8,4.1,6,4,2.9,2,3.7,na,1,3.8
McCarthy et al. 2007,Marine,Natural,Non-vascular,Microalgae,Phytoplankton,Diatoms,Bacillariophyceae,Rhizosolenia sp.,phytoplankton,6.3,5.4,5.7,5.6,4.3,2.6,10.6,-3.5,,2.6,0.6,na,1.5,3.1
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Diatoms,Bacillariophyceae,Thalassiosira pseudonana,phytoplankton,-12.6,-13,-11.2,-17.1,-15.8,-9,-12.6,-15.2,,-12.1,-18.3,na,-13.4,0.9
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Diatoms,Bacillariophyceae,Pseudo-nitzchia multiseries,phytoplankton,-14.5,-16,-17.4,-18.9,-16.3,-12.7,-19.5,-12.1,,-11,-12,na,-15.5,-6.4
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Diatoms,Bacillariophyceae,Skeletonema marinoi,phytoplankton,-16.1,-13,-11.8,-16.4,-17.9,-15.1,-12.6,-16.4,-20.5,-13.8,-20.5,na,-12.1,2
Décima et al. 2017,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Diatoms,Bacillariophyceae,Thalassiosira weissﬂogii,phytoplankton,8.6,na,5.6,na,na,na,na,na,,3.6,na,na,na,2
Hirahara et al. 2015,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Diatoms,Bacillariophyceae,Thalassiosira weissﬂogii,phytoplankton,na,na,0.3,na,na,na,na,na,,-3.7,na,na,na,4
McCarthy et al. 2013,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Raphidophytes,Raphidophyceae,not specified,phytoplankton,5,2.9,4.1,1.1,-3.2,2.5,5.4,-6.3,-1.5,2,1.9,na,0.9,2.1
"McClelland & Montoya, 2002",Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorodendrophyceae,Tetraselmis suecica,phytoplankton,0.5,-0.5,-0.4,-0.8,-0.4,0.1,1.8,-4.7,-1.1,-5.3,-7.8,na,-2.4,4.9
"McClelland & Montoya, 2002",Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorodendrophyceae,Tetraselmis suecica,phytoplankton,-1.6,-0.6,-0.1,-1.3,-1.5,-0.4,1,-4.4,-1.8,-4.3,-7.8,na,-2.3,4.2
Chikaraishi et al. 2009,Marine,Natural,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Raphidophyceae and Chlorophyceae,"Chlorella sp. Raphidonema nivale, and Chloromonas sp.",phytoplankton,13,na,13,13.2,na,12.2,14.4,4.3,,10.1,0.7,na,na,2.9
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Trebouxiophyceae,Chlorella sp.,phytoplankton,-3.9,na,-5.4,-3.9,-6.5,-5.6,-2.8,-5.5,,-7.3,-9.1,na,na,1.9
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Trebouxiophyceae,Chlorella sp.,phytoplankton,-4.2,na,-4.9,-3.8,-6.6,-4.5,-2.8,-4.8,,-7.4,-9.8,na,na,2.5
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorophyceae,Dunaliella sp.,phytoplankton,2.9,na,4.6,3.8,5.9,5.5,5.8,-8.6,,0.1,-4.4,na,na,4.5
Chikaraishi et al. 2009,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorophyceae,Dunaliella sp.,phytoplankton,6,na,5.1,4.2,5.5,7.5,7.3,5.4,,1.5,-4.8,na,na,3.6
Chikaraishi et al. 2010,Freshwater,Natural,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorophyceae,Volvox sp. Eudorina sp. Chlamydomonas sp.,phytoplankton,na,na,5.5,na,na,na,na,na,,2,na,na,na,3.5
Décima et al. 2017,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorophyceae,Dunaliella tertiolecta,phytoplankton,1.1,na,9.4,na,na,na,na,na,,5.1,na,na,na,4.3
Downs et al. 2014,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Trebouxiophyceae,Chlorella sp.,phytoplankton,na,na,na,na,na,na,na,na,,,na,na,na,#VALUE!
Gutiérrez Rodríguez et al. 2014,Marine,Lab culture,Non-vascular,Microalgae,Phytoplankton,Green microalgae,Chlorophyceae,Dunaliella tertiolecta,phytoplankton,-1.5,na,7.9,na,na,na,na,na,,3.9,na,na,na,4
